Title,Author,Work_Type,Priority,Status,Specificity,Category,Dimension,SWEBOK_or_Primary_KA,BOK_or_Framework_Anchor,Zachman_Focus,Bloom_Level,Cynefin_Domain,Abstraction_Level,Time_Horizon,Knowledge_Type,Activation_Style,Best_Representation,RAG_Suitability,Ontology_Suitability,Policy_or_LoRA_Suitability,Primary_Agent_Role,Failure_Modes_Addressed,Canonical_Concepts_or_Triggers,Why_It_Belongs,ISBN_13_or_Edition_Note,Acquisition_Note,Critique_Dimension
Computer Organization and Design,David Patterson; John Hennessy,Book,High,Keep,General,Computer Science,Computer Architecture,Computing Foundations,None / informal canon,How,Analyse / Evaluate / Create,Complicated,Substrate / Machine / Runtime,Medium-term / Delivery,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,Architecture Substrate Agent,coupling / poor boundaries; reasoning bias,Computer Architecture,"Processor, memory hierarchy, caches, interrupts, and architecture fundamentals.",9780128203316,ISBN best-effort; verify edition before acquisition,Computer Architecture / Computer Science
Introduction to Algorithms,Thomas Cormen; Charles Leiserson; Ronald Rivest; Clifford Stein,Book,High,Keep,General,Computer Science,Algorithms,Computing Foundations,None / informal canon,What; How,Understand / Analyse,Complicated,Substrate / Machine / Runtime,Cross-horizon,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,Algorithms Agent,general poor judgement / missing context,Algorithms,Canonical algorithms and data structures reference.,9780262046305,ISBN best-effort; verify edition before acquisition,Algorithms / Computer Science
Operating System Concepts,Abraham Silberschatz; Peter Baer Galvin; Greg Gagne,Book,High,Keep,General,Computer Science,Operating Systems,Computing Foundations,None / informal canon,How,Understand / Analyse,Complicated,Substrate / Machine / Runtime,Cross-horizon,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,OS Agent,general poor judgement / missing context,Operating Systems,Broad undergraduate OS reference.,9781119456339,ISBN best-effort; verify edition before acquisition,Operating Systems / Computer Science
Operating Systems: Design and Implementation,Andrew S. Tanenbaum; Albert S. Woodhull,Book,High,Keep,General,Computer Science,Operating Systems,Computing Foundations,None / informal canon,How,Understand / Analyse,Complicated,Substrate / Machine / Runtime,Immediate / Tactical,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,OS Agent,general poor judgement / missing context,Operating Systems,"Operating system concepts, scheduling, processes, memory, filesystems, and implementation.",9780131429383,ISBN best-effort; verify edition before acquisition,Operating Systems / Computer Science
Structure and Interpretation of Computer Programs,Harold Abelson; Gerald Jay Sussman,Book,High,Keep,General,Computer Science,Computation / Abstraction,Computing Foundations,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Substrate / Machine / Runtime,Cross-horizon,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,Policy + RAG,High,Low,High,Abstraction Agent,general poor judgement / missing context,Computation / Abstraction,Foundational computational abstraction and language thinking.,9780262510875,ISBN best-effort; verify edition before acquisition,Computation / Abstraction / Computer Science
Computer Networking: A Top-Down Approach,James Kurose; Keith Ross,Book,High,Keep,General,Networking,Networking Fundamentals,Computing Foundations,None / informal canon,Where,Analyse / Evaluate / Create,Complicated,Substrate / Machine / Runtime,Medium-term / Delivery,Mechanistic / Factual; Cultural / Cognitive,Deep retrieval on demand,RAG,High,Low,Low,Networking Agent,latency / protocol misunderstanding; reasoning bias,Networking Fundamentals,"Core networking concepts, application protocols, TCP/IP, routing, and layers.",9780136681557,ISBN best-effort; verify edition before acquisition,Networking Fundamentals / Networking
"TCP/IP Illustrated, Volume 1",W. Richard Stevens,Book,High,Keep,Specialist but foundational,Networking,TCP/IP Internals,Computing Foundations,None / informal canon,Where,Understand / Analyse,Complicated,Substrate / Machine / Runtime,Medium-term / Delivery,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,Networking Agent,latency / protocol misunderstanding,TCP/IP Internals,Detailed TCP/IP behaviour and protocol internals.,9780321336316,ISBN best-effort; verify edition before acquisition,TCP/IP Internals / Networking
AI Engineering,Chip Huyen,Book,High,Add,General,AI / ML Systems,AI Engineering,Computing Foundations / AI,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Cross-layer,Medium-term / Delivery,Mechanistic / Factual; Operational / Procedural; Heuristic / Policy,Workflow execution / checklist,RAG + Workflow + Policy,High,Medium,High,AI Engineering Agent,general poor judgement / missing context,AI Engineering,"Modern AI product and systems engineering; useful bridge between ML systems, evaluation, prompts, and production AI.",Verify current edition,Verify publication status/edition before acquisition,AI Engineering / Production AI
Artificial Intelligence: A Modern Approach,Stuart Russell; Peter Norvig,Book,High,Add,General,Artificial Intelligence,AI Fundamentals,Computing Foundations / AI,None / informal canon,When,Analyse / Evaluate / Create,Complicated / Complex,Human / Cultural,Cross-horizon,Mechanistic / Factual; Structural / Ontological; Cultural / Cognitive,Structural retrieval / coverage check,RAG + Ontology,High,High,Low,AI Reasoning Agent,reasoning bias,AI Fundamentals,"Canonical AI survey: search, planning, agents, knowledge representation, uncertainty.",9780134610993,ISBN best-effort; verify edition before acquisition,AI Fundamentals / Artificial Intelligence
Designing Machine Learning Systems,Chip Huyen,Book,High,Add,General,ML Systems,ML Engineering,Computing Foundations / AI,None / informal canon,What; Where,Apply / Analyse,Complicated / Complex,Cross-layer,Medium-term / Delivery,Mechanistic / Factual; Operational / Procedural,Workflow execution / checklist,RAG + Workflow,High,Low,Medium,ML Systems Agent,general poor judgement / missing context,ML Engineering,"Production ML systems, data, evaluation, deployment, and monitoring.",9781098107963,ISBN best-effort; verify edition before acquisition,ML Engineering / ML Systems
Designing Data-Intensive Applications,Martin Kleppmann,Book,High,Keep,General,Data Systems,Distributed Data,Computing Foundations / Data Management,None / informal canon,What; Where,Analyse / Evaluate / Create,Complicated,System / Platform,Cross-horizon,Mechanistic / Factual; Structural / Ontological,Structural retrieval / coverage check,RAG + Ontology,High,High,Low,Data Systems Agent,general poor judgement / missing context,replication; partitioning; consensus; streams; consistency models,"Essential modern treatment of storage, replication, consistency, streams, and distributed systems.",9781449373320,ISBN best-effort; verify edition before acquisition,Distributed Data / Data Systems
Database System Concepts,Abraham Silberschatz; Henry Korth; S. Sudarshan,Book,High,Add,General,Databases,Database Fundamentals,Computing Foundations / Data Management,None / informal canon,What,Analyse / Evaluate / Create,Complicated,System / Platform,Medium-term / Delivery,Mechanistic / Factual; Cultural / Cognitive,Deep retrieval on demand,RAG,High,Low,Low,Database Agent,data inconsistency / poor persistence design; reasoning bias,Database Fundamentals,Canonical database systems theory and practice.,9780078022159,ISBN best-effort; verify edition before acquisition,Database Fundamentals / Databases
Transaction Processing,Jim Gray; Andreas Reuter,Book,High,Add,Specialist but foundational,Databases,Transactions,Computing Foundations / Data Management,None / informal canon,What,Understand / Analyse,Complicated,System / Platform,Medium-term / Delivery,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,Transaction / Consistency Agent,data inconsistency / poor persistence design; consistency / recovery failure,Transactions,"Classic on transactions, recovery, concurrency control, and reliable data systems.",9781558601901,ISBN best-effort; verify edition before acquisition,Transactions / Databases
Joel on Software,Joel Spolsky,Book,High,Add,General,Engineering Culture,Software Judgement,Professional Practice,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Human / Cultural,Medium-term / Delivery,Mechanistic / Factual; Heuristic / Policy; Cultural / Cognitive,Deep retrieval on demand,Policy + RAG,High,Low,High,Pragmatic Engineering Agent,general poor judgement / missing context,Software Judgement,"Practical software-economic judgement, developer productivity, product, hiring, and taste.",9781590593899,ISBN best-effort; verify edition before acquisition,Software Judgement / Engineering Culture
The Jargon File,Eric S. Raymond,Standard / Web Reference,High,Add,General,Engineering Culture,Hacker Lore,Professional Practice,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Human / Cultural,Long-term / Strategic,Mechanistic / Factual; Heuristic / Policy; Cultural / Cognitive,Triggered heuristic / critique lens,Policy + RAG,High,Low,High,Engineering Culture Agent,cargo cult / folklore blindness,yak shaving; cargo cult; hacker folklore; rubber ducking,"Engineering folklore, anti-patterns, humour, and tacit hacker culture.",Online / varies,Must verify edition/ISBN before purchase,Hacker Lore / Engineering Culture
Thinking in Systems,Donella Meadows,Book,High,Keep,General,Systems Thinking,Systems / Feedback,Professional Practice,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Cross-layer,Cross-horizon,Structural / Ontological; Heuristic / Policy,Structural retrieval / coverage check,Policy + Ontology,Medium,High,High,Systems Thinking Agent,general poor judgement / missing context,stocks; flows; feedback loops; leverage points,"Feedback loops, stocks, flows, leverage points, and unintended consequences.",9781603580557,ISBN best-effort; verify edition before acquisition,Systems / Feedback / Systems Thinking
The UNIX Programming Environment,Brian Kernighan; Rob Pike,Book,High,Keep,General,Unix Philosophy,Tooling / Composability,Professional Practice,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Cross-layer,Cross-horizon,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,Policy + RAG,High,Low,High,Automation / Tooling Agent,general poor judgement / missing context,Tooling / Composability,"Unix composability, small tools, scripts, and programmer environment thinking.",9780139376993,ISBN best-effort; verify edition before acquisition,Tooling / Composability / Unix Philosophy
Clean Code,Robert C. Martin,Book,High,Keep,General,Software Engineering,Code Quality,Software Construction,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Code / Component,Immediate / Tactical,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,Policy + RAG,High,Low,High,Code Critic,waste / local optimisation,Code Quality,"Readable, maintainable code discipline and local design judgement.",9780132350884,ISBN best-effort; verify edition before acquisition,Code Quality / Software Engineering
Code Complete,Steve McConnell,Book,High,Keep,General,Software Engineering,Construction,Software Construction,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Code / Component,Immediate / Tactical,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,RAG + Policy,High,Low,High,Implementation Mentor,general poor judgement / missing context,Construction,"Comprehensive software construction practices, code-level design, and quality habits.",9780735619678,ISBN best-effort; verify edition before acquisition,Construction / Software Engineering
Refactoring,Martin Fowler,Book,High,Keep,General,Software Engineering,Code Evolution,Software Construction,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Code / Component,Immediate / Tactical,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,RAG + Policy,High,Low,High,Refactoring Agent,general poor judgement / missing context,Code Evolution,Systematic improvement of existing code without changing behaviour.,9780134757599,ISBN best-effort; verify edition before acquisition,Code Evolution / Software Engineering
Software Craftsmanship,Sandro Mancuso,Book,High,Add,General,Software Engineering,Engineering Culture,Software Construction,None / informal canon,Why,Analyse / Evaluate / Create,Complicated / Complex,Code / Component,Long-term / Strategic,Heuristic / Policy; Cultural / Cognitive,Continuous background prior,Policy,Medium,Low,High,Engineering Culture Agent,general poor judgement / missing context,Engineering Culture,"Professionalism, quality culture, deliberate practice, and engineering values.",9780134052502,ISBN best-effort; verify edition before acquisition,Engineering Culture / Software Engineering
Test-Driven Development: By Example,Kent Beck,Book,High,Keep,General,Software Engineering,Testing,Software Construction,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Code / Component,Immediate / Tactical,Operational / Procedural; Heuristic / Policy,Workflow execution / checklist,Policy + Workflow,Medium,Low,High,Test / Feedback Agent,regression / weak feedback loop,Testing,Core feedback-loop discipline for implementation.,9780321146533,ISBN best-effort; verify edition before acquisition,Testing / Software Engineering
The Mythical Man-Month,Frederick P. Brooks Jr.,Book,High,Keep,General,Software Engineering,Project Reality,Software Construction,PMBOK / Agile,When,Analyse / Evaluate / Create,Complex,Code / Component,Cross-horizon,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,Policy + RAG,High,Low,High,Planning / Delivery Critic,schedule fantasy / governance failure,Brooks’ Law; second-system effect; conceptual integrity,"Timeless principles on schedule, complexity, communication, and software project failure.",9780201835953,ISBN best-effort; verify edition before acquisition,Project Reality / Software Engineering
The Pragmatic Programmer,Andrew Hunt; David Thomas,Book,High,Keep,General,Software Engineering,Craftsmanship,Software Construction,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Code / Component,Cross-horizon,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,Policy + RAG,High,Low,High,Engineering Mentor,general poor judgement / missing context,DRY; tracer bullets; orthogonality; broken windows,"Broad engineering heuristics, feedback, automation, simplicity, and professionalism.",9780135957059,ISBN best-effort; verify edition before acquisition,Craftsmanship / Software Engineering
Working Effectively with Legacy Code,Michael Feathers,Book,High,Keep,General,Software Engineering,Legacy Systems,Software Construction,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Code / Component,Immediate / Tactical,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,RAG + Policy,High,Low,High,Legacy Code Agent,change paralysis,Legacy Systems,Techniques for safely changing legacy code and introducing test seams.,9780131177055,ISBN best-effort; verify edition before acquisition,Legacy Systems / Software Engineering
Building Microservices,Sam Newman,Book,High,Add,General,Architecture,Microservices,Software Design,None / informal canon,How; Where,Analyse / Evaluate / Create,Complicated,System / Platform,Medium-term / Delivery,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,RAG + Policy,High,Medium,High,Microservices Agent,coupling / poor boundaries; distributed monolith / service-boundary failure,Microservices,"Service boundaries, distributed trade-offs, async communication, operability, and evolutionary architecture.",9781492034025,Verify edition before acquisition,Microservices / Architecture
Clean Architecture,Robert C. Martin,Book,High,Keep,General,Architecture,Architecture,Software Design,None / informal canon,How,Analyse / Evaluate / Create,Complicated,System / Platform,Medium-term / Delivery,Structural / Ontological; Heuristic / Policy,Structural retrieval / coverage check,Policy + Ontology,Medium,High,High,Architecture Critic,coupling / poor boundaries; waste / local optimisation,Architecture,"Dependency direction, boundaries, use cases, and architectural separation.",9780134494166,ISBN best-effort; verify edition before acquisition,Architecture / Architecture
